Year,Month,Week,Price
2021,1,1,216.23
2021,1,2,216.23
2021,1,3,216.23
2021,1,4,216.23
2021,2,1,206.92
2021,2,2,206.92
2021,2,3,206.92
2021,2,4,206.92
2021,3,1,209.29
2021,3,2,210.67
2021,3,3,215.33
2021,3,4,215.33
2021,4,1,209.29
2021,4,2,209.29
2021,4,3,209.29
2021,4,4,209.29
2021,5,1,207.69
2021,5,2,207.69
2021,5,3,207.69
2021,5,4,207.69
2021,6,1,207.69
2021,6,2,207.69
2021,6,3,220.11
2021,6,4,220.11
2021,7,1,207.69
2021,7,2,207.69
2021,7,3,207.69
2021,7,4,207.69
2021,8,1,207.69
2021,8,2,207.69
2021,8,3,220.11
2021,8,4,220.11
2021,9,1,283.62
2021,9,2,280
2021,9,3,275
2021,9,4,273.75
2021,10,1,275
2021,10,2,278
2021,10,3,280
2021,10,4,282
2021,11,1,238.67
2021,11,2,234.44
2021,11,3,235
2021,11,4,236
2021,12,1,237
2021,12,2,238
2021,12,3,239
2021,12,4,240
2022,12,1,447.33
2022,12,2,450.12
2022,12,3,460
2022,12,4,455.45
2022,11,1,435
2022,11,2,440
2022,11,3,443.78
2022,11,4,448
2022,10,1,420.3
2022,10,2,423.6
2022,10,3,427.8
2022,10,4,430
2022,9,1,410
2022,9,2,415
2022,9,3,420
2022,9,4,425
2022,8,1,294.74
2022,8,2,300
2022,8,3,310
2022,8,4,320
2022,7,1,252.27
2022,7,2,255
2022,7,3,260
2022,7,4,265
2022,6,1,305
2022,6,2,310
2022,6,3,315
2022,6,4,320
2022,5,1,293.16
2022,5,2,289.47
2022,5,3,293
2022,5,4,295
2022,4,1,227.45
2022,4,2,230
2022,4,3,235
2022,4,4,240
2022,3,1,223.48
2022,3,2,223.48
2022,3,3,226.55
2022,3,4,226.55
2022,2,1,227
2022,2,2,227.08
2022,2,3,226.5
2022,2,4,227
2022,1,1,226.84
2022,1,2,227
2022,1,3,226.84
2022,1,4,227
2023,12,1,580
2023,12,2,590
2023,12,3,600
2023,12,4,610
2023,10,1,570
2023,10,2,580
2023,10,3,590
2023,10,4,600
2023,11,1,610
2023,11,2,620
2023,11,3,630
2023,11,4,640
2023,8,1,540
2023,8,2,550
2023,8,3,560
2023,8,4,570
2023,9,1,580
2023,9,2,590
2023,9,3,600
2023,9,4,610
2023,6,1,500
2023,6,2,510
2023,6,3,520
2023,6,4,530
2023,7,1,540
2023,7,2,550
2023,7,3,560
2023,7,4,570
2023,4,1,550
2023,4,2,598.57
2023,4,3,600
2023,4,4,610
2023,5,1,620
2023,5,2,630
2023,5,3,640
2023,5,4,650
2023,2,1,446.19
2023,2,2,450
2023,2,3,455
2023,2,4,460
2023,3,1,465
2023,3,2,470
2023,3,3,475
2023,3,4,480
2023,1,1,494.44
2023,1,2,472.92
2023,1,3,472.92
2023,1,4,471.74
2024,6,1,390.8
2024,6,2,411.92
2024,5,1,450
2024,5,2,423.33
2024,5,3,408.26
2024,5,4,416.36
2024,4,1,510.25
2024,4,2,553.08
2024,4,3,632.73
2024,4,4,620.9
2024,3,1,395.93
2024,3,2,402.58
2024,3,3,404.44
2024,3,4,410
2024,2,1,408.46
2024,2,2,417.2
2024,2,3,420.14
2024,2,4,401.6
2024,1,1,506.1
2024,1,2,508.35
2024,1,3,484.35
2024,1,4,484.35
