Year,Month,Week,Price
2021,1,1,256.43
2021,1,2,256.43
2021,1,3,256.43
2021,1,4,256.43
2021,2,1,247.32
2021,2,2,247.32
2021,2,3,247.32
2021,2,4,247.32
2021,3,1,240.18
2021,3,2,258.08
2021,3,3,254.11
2021,3,4,254.11
2021,4,1,241.75
2021,4,2,241.75
2021,4,3,241.75
2021,4,4,241.75
2021,5,1,314
2021,5,2,314
2021,5,3,314
2021,5,4,314
2021,6,1,314
2021,6,2,315.86
2021,6,3,313.75
2021,6,4,313.75
2021,7,1,314
2021,7,2,314
2021,7,3,314
2021,7,4,314
2021,8,1,314
2021,8,2,315.86
2021,8,3,313.75
2021,8,4,313.75
2021,9,1,335.33
2021,9,2,340
2021,9,3,342
2021,9,4,345
2021,10,1,346
2021,10,2,347
2021,10,3,349
2021,10,4,350
2021,11,1,351.3
2021,11,2,351.77
2021,11,3,352
2021,11,4,353
2021,12,1,354
2021,12,2,355
2021,12,3,356
2021,12,4,357
2022,12,1,693.47
2022,12,2,689.15
2022,12,3,684.22
2022,12,4,680.45
2022,11,1,685.23
2022,11,2,680.56
2022,11,3,678
2022,11,4,676.5
2022,10,1,690.1
2022,10,2,698.5
2022,10,3,692.25
2022,10,4,700.5
2022,9,1,680.75
2022,9,2,685.25
2022,9,3,690.5
2022,9,4,700
2022,8,1,803.35
2022,8,2,810
2022,8,3,820
2022,8,4,830
2022,7,1,795.72
2022,7,2,800
2022,7,3,810
2022,7,4,820
2022,6,1,630.45
2022,6,2,635
2022,6,3,640
2022,6,4,645
2022,5,1,557.07
2022,5,2,621.81
2022,5,3,630
2022,5,4,640
2022,4,1,370.25
2022,4,2,375
2022,4,3,380
2022,4,4,385
2022,3,1,369.33
2022,3,2,377.55
2022,3,3,382.7
2022,3,4,382.7
2022,2,1,358.06
2022,2,2,350.34
2022,2,3,345
2022,2,4,340
2022,1,1,353.29
2022,1,2,358.06
2022,1,3,353.29
2022,1,4,358.06
2023,12,1,730
2023,12,2,740
2023,12,3,750
2023,12,4,760
2023,10,1,720
2023,10,2,730
2023,10,3,740
2023,10,4,750
2023,11,1,760
2023,11,2,770
2023,11,3,780
2023,11,4,790
2023,8,1,650
2023,8,2,660
2023,8,3,670
2023,8,4,680
2023,9,1,690
2023,9,2,700
2023,9,3,710
2023,9,4,720
2023,6,1,620
2023,6,2,630
2023,6,3,640
2023,6,4,650
2023,7,1,660
2023,7,2,670
2023,7,3,680
2023,7,4,690
2023,4,1,690.59
2023,4,2,715.55
2023,4,3,720
2023,4,4,725
2023,5,1,730
2023,5,2,735
2023,5,3,740
2023,5,4,745
2023,2,1,719.14
2023,2,2,720
2023,2,3,721
2023,2,4,722
2023,3,1,723
2023,3,2,724
2023,3,3,725
2023,3,4,726
2023,1,1,765.57
2023,1,2,779.37
2023,1,3,779.37
2023,1,4,773.32
2024,6,1,565.78
2024,6,2,560.86
2024,5,1,578.95
2024,5,2,616.3
2024,5,3,598.47
2024,5,4,589.91
2024,4,1,642.18
2024,4,2,666.74
2024,4,3,703.08
2024,4,4,698.26
2024,3,1,705.85
2024,3,2,712.45
2024,3,3,680.68
2024,3,4,694.32
2024,2,1,693.51
2024,2,2,697.27
2024,2,3,709.87
2024,2,4,700.83
2024,1,1,743.8
2024,1,2,755.56
2024,1,3,740
2024,1,4,715.35
