Year,Month,Week,Price
2021,1,1,88.06
2021,1,2,88.06
2021,1,3,88.06
2021,1,4,88.06
2021,2,1,88.81
2021,2,2,88.81
2021,2,3,88.81
2021,2,4,88.81
2021,3,1,92.83
2021,3,2,93.08
2021,3,3,87.69
2021,3,4,87.69
2021,4,1,89.67
2021,4,2,89.67
2021,4,3,89.67
2021,4,4,89.67
2021,5,1,74.75
2021,5,2,74.75
2021,5,3,74.75
2021,5,4,74.75
2021,6,1,74.75
2021,6,2,74.75
2021,6,3,74.75
2021,6,4,74.75
2021,7,1,74.75
2021,7,2,74.75
2021,7,3,74.75
2021,7,4,74.75
2021,8,1,74.75
2021,8,2,74.75
2021,8,3,74.75
2021,8,4,74.75
2021,9,1,77.17
2021,9,2,78
2021,9,3,79
2021,9,4,79.63
2021,10,1,80
2021,10,2,81
2021,10,3,82
2021,10,4,83
2021,11,1,81.52
2021,11,2,82.14
2021,11,3,83
2021,11,4,84
2021,12,1,85
2021,12,2,86
2021,12,3,87
2021,12,4,88
2022,12,1,108.67
2022,12,2,109.33
2022,12,3,110.12
2022,12,4,111
2022,11,1,106.5
2022,11,2,107
2022,11,3,108
2022,11,4,108.67
2022,10,1,90.5
2022,10,2,92
2022,10,3,93.5
2022,10,4,95
2022,9,1,88.5
2022,9,2,89
2022,9,3,90
2022,9,4,91
2022,8,1,93.13
2022,8,2,95
2022,8,3,96
2022,8,4,97
2022,7,1,87.59
2022,7,2,89
2022,7,3,90
2022,7,4,91
2022,6,1,92
2022,6,2,93.5
2022,6,3,94
2022,6,4,95
2022,5,1,88.03
2022,5,2,90.86
2022,5,3,92
2022,5,4,93.5
2022,4,1,88.5
2022,4,2,90
2022,4,3,91.5
2022,4,4,93
2022,3,1,83.05
2022,3,2,83.05
2022,3,3,83.79
2022,3,4,83.79
2022,2,1,85.19
2022,2,2,86.06
2022,2,3,86.5
2022,2,4,87
2022,1,1,84.71
2022,1,2,85.19
2022,1,3,84.71
2022,1,4,85.19
2023,12,1,110
2023,12,2,120
2023,12,3,130
2023,12,4,140
2023,10,1,100
2023,10,2,110
2023,10,3,120
2023,10,4,130
2023,11,1,140
2023,11,2,150
2023,11,3,160
2023,11,4,170
2023,8,1,90
2023,8,2,95
2023,8,3,100
2023,8,4,105
2023,9,1,110
2023,9,2,115
2023,9,3,120
2023,9,4,125
2023,6,1,80
2023,6,2,85
2023,6,3,90
2023,6,4,95
2023,7,1,100
2023,7,2,105
2023,7,3,110
2023,7,4,115
2023,4,1,114.41
2023,4,2,113.33
2023,4,3,112
2023,4,4,114
2023,5,1,115
2023,5,2,116
2023,5,3,117
2023,5,4,118
2023,2,1,110.47
2023,2,2,112
2023,2,3,113
2023,2,4,114
2023,3,1,115
2023,3,2,116
2023,3,3,117
2023,3,4,118
2023,1,1,103.77
2023,1,2,105.93
2023,1,3,105.93
2023,1,4,102.09
2024,6,1,118.56
2024,6,2,114.01
2024,5,1,110
2024,5,2,111.78
2024,5,3,111.78
2024,5,4,114.36
2024,4,1,108.33
2024,4,2,111.22
2024,4,3,114.87
2024,4,4,113.5
2024,3,1,112.14
2024,3,2,113
2024,3,3,112.45
2024,3,4,114
2024,2,1,111.59
2024,2,2,112.57
2024,2,3,111.2
2024,2,4,112.45
2024,1,1,108.8
2024,1,2,109.65
2024,1,3,109.28
2024,1,4,109.28
