Year,Month,Week,Price
2021,1,1,471.25
2021,1,2,471.25
2021,1,3,471.25
2021,1,4,471.25
2021,2,1,522.86
2021,2,2,522.86
2021,2,3,522.86
2021,2,4,522.86
2021,3,1,570
2021,3,2,623.33
2021,3,3,670.83
2021,3,4,670.83
2021,4,1,578.33
2021,4,2,578.33
2021,4,3,578.33
2021,4,4,578.33
2021,5,1,648.75
2021,5,2,648.75
2021,5,3,648.75
2021,5,4,648.75
2021,6,1,648.75
2021,6,2,648.75
2021,6,3,650.98
2021,6,4,650.98
2021,7,1,648.75
2021,7,2,648.75
2021,7,3,648.75
2021,7,4,648.75
2021,8,1,648.75
2021,8,2,648.75
2021,8,3,650.98
2021,8,4,650.98
2021,9,1,643.45
2021,9,2,650
2021,9,3,655
2021,9,4,660
2021,10,1,665
2021,10,2,670
2021,10,3,675
2021,10,4,680
2021,11,1,522.98
2021,11,2,556
2021,11,3,560
2021,11,4,565
2021,12,1,570
2021,12,2,575
2021,12,3,580
2021,12,4,585
2022,12,1,1245.67
2022,12,2,1267.45
2022,12,3,1258.67
2022,12,4,1265.8
2022,11,1,1240.67
2022,11,2,1235
2022,11,3,1228.78
2022,11,4,1235.67
2022,10,1,1125.5
2022,10,2,1140.75
2022,10,3,1150.8
2022,10,4,1160.25
2022,9,1,1100
2022,9,2,1120
2022,9,3,1135
2022,9,4,1150
2022,8,1,781.07
2022,8,2,788
2022,8,3,800
2022,8,4,820
2022,7,1,735.18
2022,7,2,740
2022,7,3,750
2022,7,4,760
2022,6,1,688.55
2022,6,2,690.75
2022,6,3,693
2022,6,4,695.5
2022,5,1,671.43
2022,5,2,668.56
2022,5,3,675
2022,5,4,680
2022,4,1,623.45
2022,4,2,630
2022,4,3,635
2022,4,4,640
2022,3,1,635.54
2022,3,2,603.27
2022,3,3,637.58
2022,3,4,637.58
2022,2,1,613.9
2022,2,2,621.34
2022,2,3,627
2022,2,4,630
2022,1,1,618.39
2022,1,2,613.9
2022,1,3,618.39
2022,1,4,613.9
2023,12,1,1200
2023,12,2,1210
2023,12,3,1220
2023,12,4,1230
2023,10,1,1180
2023,10,2,1190
2023,10,3,1200
2023,10,4,1210
2023,11,1,1220
2023,11,2,1230
2023,11,3,1240
2023,11,4,1250
2023,8,1,1050
2023,8,2,1060
2023,8,3,1070
2023,8,4,1080
2023,9,1,1090
2023,9,2,1100
2023,9,3,1110
2023,9,4,1120
2023,6,1,1000
2023,6,2,1010
2023,6,3,1020
2023,6,4,1030
2023,7,1,1040
2023,7,2,1050
2023,7,3,1060
2023,7,4,1070
2023,4,1,1052.67
2023,4,2,1080
2023,4,3,1100
2023,4,4,1115
2023,5,1,1120
2023,5,2,1130
2023,5,3,1140
2023,5,4,1150
2023,2,1,1273.81
2023,2,2,1275
2023,2,3,1276
2023,2,4,1277
2023,3,1,1278
2023,3,2,1279
2023,3,3,1280
2023,3,4,1281
2023,1,1,1359.23
2023,1,2,1420.18
2023,1,3,1420.18
2023,1,4,1329.17
2024,6,1,926.27
2024,6,2,929.41
2024,5,1,905.29
2024,5,2,923.82
2024,5,3,962.7
2024,5,4,956.46
2024,4,1,954.67
2024,4,2,959.79
2024,4,3,969.03
2024,4,4,978.45
2024,3,1,1152.22
2024,3,2,1170
2024,3,3,1018.59
2024,3,4,1024.59
2024,2,1,1138.13
2024,2,2,1243.96
2024,2,3,1214.2
2024,2,4,1166.38
2024,1,1,1231.38
2024,1,2,1218.42
2024,1,3,1200
2024,1,4,1298.89
