Year,Month,Week,Price
2021,1,1,115
2021,1,2,115
2021,1,3,115
2021,1,4,115
2021,2,1,116.22
2021,2,2,116.22
2021,2,3,116.22
2021,2,4,116.22
2021,3,1,115.75
2021,3,2,115.25
2021,3,3,115.53
2021,3,4,115.53
2021,4,1,115.25
2021,4,2,115.25
2021,4,3,115.25
2021,4,4,115.25
2021,5,1,137.9
2021,5,2,137.9
2021,5,3,137.9
2021,5,4,137.9
2021,6,1,137.9
2021,6,2,137.9
2021,6,3,141
2021,6,4,141
2021,7,1,137.9
2021,7,2,137.9
2021,7,3,137.9
2021,7,4,137.9
2021,8,1,137.9
2021,8,2,137.9
2021,8,3,141
2021,8,4,141
2021,9,1,119.17
2021,9,2,119.5
2021,9,3,120
2021,9,4,121
2021,10,1,122
2021,10,2,123
2021,10,3,124
2021,10,4,125
2021,11,1,159.28
2021,11,2,163.44
2021,11,3,165
2021,11,4,167
2021,12,1,168
2021,12,2,169
2021,12,3,170
2021,12,4,171
2022,12,1,260.1
2022,12,2,263.67
2022,12,3,266.45
2022,12,4,267.9
2022,11,1,250.5
2022,11,2,255
2022,11,3,258.9
2022,11,4,260.78
2022,10,1,245.3
2022,10,2,243.75
2022,10,3,248.6
2022,10,4,250.75
2022,9,1,240.5
2022,9,2,238.75
2022,9,3,242.5
2022,9,4,245
2022,8,1,237.12
2022,8,2,240
2022,8,3,245
2022,8,4,250
2022,7,1,247.86
2022,7,2,250
2022,7,3,255
2022,7,4,260
2022,6,1,213.25
2022,6,2,215.5
2022,6,3,218.75
2022,6,4,220.5
2022,5,1,212.99
2022,5,2,220.7
2022,5,3,225.55
2022,5,4,228
2022,4,1,152.3
2022,4,2,155
2022,4,3,158.5
2022,4,4,160
2022,3,1,155.36
2022,3,2,155.04
2022,3,3,155.79
2022,3,4,155.04
2022,2,1,156.43
2022,2,2,155.18
2022,2,3,154.75
2022,2,4,154
2022,1,1,157.31
2022,1,2,156.43
2022,1,3,157.31
2022,1,4,156.43
2023,12,1,250
2023,12,2,260
2023,12,3,270
2023,12,4,280
2023,10,1,240
2023,10,2,250
2023,10,3,260
2023,10,4,270
2023,11,1,280
2023,11,2,290
2023,11,3,300
2023,11,4,310
2023,8,1,230
2023,8,2,235
2023,8,3,240
2023,8,4,245
2023,9,1,250
2023,9,2,255
2023,9,3,260
2023,9,4,265
2023,6,1,225
2023,6,2,230
2023,6,3,235
2023,6,4,240
2023,7,1,245
2023,7,2,250
2023,7,3,255
2023,7,4,260
2023,4,1,225.54
2023,4,2,228.56
2023,4,3,230
2023,4,4,232
2023,5,1,235
2023,5,2,238
2023,5,3,240
2023,5,4,242
2023,2,1,225.5
2023,2,2,226
2023,2,3,227
2023,2,4,228
2023,3,1,229
2023,3,2,230
2023,3,3,231
2023,3,4,232
2023,1,1,227.29
2023,1,2,227.83
2023,1,3,228.27
2023,1,4,228.34
2024,6,1,268.26
2024,6,2,268.97
2024,5,1,264.29
2024,5,2,267.01
2024,5,3,264.74
2024,5,4,267.01
2024,4,1,259.82
2024,4,2,262.25
2024,4,3,263.1
2024,4,4,264.58
2024,3,1,269.03
2024,3,2,270.58
2024,3,3,270.2
2024,3,4,269.9
2024,2,1,274.78
2024,2,2,273.25
2024,2,3,271.67
2024,2,4,269.2
2024,1,1,248.06
2024,1,2,244.08
2024,1,3,240
2024,1,4,245.22
