Year,Month,Week,Price
2021,1,1,3707.14
2021,1,2,3707.14
2021,1,3,3707.14
2021,1,4,3707.14
2021,2,1,3842.86
2021,2,2,3842.86
2021,2,3,3842.86
2021,2,4,3842.86
2021,3,1,3200
2021,3,2,3071.43
2021,3,3,2400
2021,3,4,2400
2021,4,1,3120
2021,4,2,3120
2021,4,3,3120
2021,4,4,3120
2021,5,1,3420
2021,5,2,3420
2021,5,3,3420
2021,5,4,3420
2021,6,1,3420
2021,6,2,3420
2021,6,3,3450
2021,6,4,3450
2021,7,1,3420
2021,7,2,3420
2021,7,3,3420
2021,7,4,3420
2021,8,1,3420
2021,8,2,3420
2021,8,3,3450
2021,8,4,3450
2021,9,1,3525
2021,9,2,3550
2021,9,3,3580
2021,9,4,3600
2021,10,1,3630
2021,10,2,3650
2021,10,3,3680
2021,10,4,3700
2021,11,1,3900
2021,11,2,3908.33
2021,11,3,3910
2021,11,4,3920
2021,12,1,3930
2021,12,2,3940
2021,12,3,3950
2021,12,4,3960
2022,12,1,2550
2022,12,2,2570
2022,12,3,2590
2022,12,4,2580
2022,11,1,2500
2022,11,2,2520
2022,11,3,2535
2022,11,4,2550
2022,10,1,2520
2022,10,2,2540
2022,10,3,2560
2022,10,4,2580
2022,9,1,2480
2022,9,2,2500
2022,9,3,2520
2022,9,4,2540
2022,8,1,3290
2022,8,2,3300
2022,8,3,3350
2022,8,4,3400
2022,7,1,3857.14
2022,7,2,3900
2022,7,3,3950
2022,7,4,4000
2022,6,1,3300
2022,6,2,3350
2022,6,3,3400
2022,6,4,3450
2022,5,1,3628.57
2022,5,2,3391.67
2022,5,3,3450
2022,5,4,3500
2022,4,1,3020
2022,4,2,3050
2022,4,3,3100
2022,4,4,3150
2022,3,1,3390.91
2022,3,2,3390.91
2022,3,3,3583.33
2022,3,4,3583.33
2022,2,1,3707.14
2022,2,2,3535.29
2022,2,3,3500
2022,2,4,3600
2022,1,1,3418.18
2022,1,2,3707.14
2022,1,3,3418.18
2022,1,4,3707.14
2023,12,1,2560
2023,12,2,2570
2023,12,3,2580
2023,12,4,2590
2023,10,1,2530
2023,10,2,2540
2023,10,3,2550
2023,10,4,2560
2023,11,1,2570
2023,11,2,2580
2023,11,3,2590
2023,11,4,2600
2023,8,1,2400
2023,8,2,2450
2023,8,3,2500
2023,8,4,2550
2023,9,1,2600
2023,9,2,2650
2023,9,3,2700
2023,9,4,2750
2023,6,1,2300
2023,6,2,2350
2023,6,3,2400
2023,6,4,2450
2023,7,1,2500
2023,7,2,2550
2023,7,3,2600
2023,7,4,2650
2023,4,1,2628.57
2023,4,2,2722.22
2023,4,3,2750
2023,4,4,2800
2023,5,1,2850
2023,5,2,2900
2023,5,3,2950
2023,5,4,3000
2023,2,1,3005.88
2023,2,2,3010
2023,2,3,3020
2023,2,4,3030
2023,3,1,3040
2023,3,2,3050
2023,3,3,3060
2023,3,4,3070
2023,1,1,3041.18
2023,1,2,2983.33
2023,1,3,2983.33
2023,1,4,3027.78
2024,6,1,2584.21
2024,6,2,2950
2024,5,1,2700
2024,5,2,2766.67
2024,5,3,2523.53
2024,5,4,2584.62
2024,4,1,2700
2024,4,2,2655.56
2024,4,3,2496.15
2024,4,4,2500
2024,3,1,2716.67
2024,3,2,2720.5
2024,3,3,2766.67
2024,3,4,2735
2024,2,1,2605.56
2024,2,2,2640
2024,2,3,2620
2024,2,4,2557.89
2024,1,1,2745
2024,1,2,2781.25
2024,1,3,2745
2024,1,4,2745
